method,budget,sum_region,accuracy,n,mean_confidence
anchor_posterior,1000,seen_sum_10_13,0.0,4432,0.14761723022202167
anchor_symbolic,1000,seen_sum_10_13,0.0,4432,0.1439290012576715
direct_sum,1000,seen_sum_10_13,0.03813176895306859,4432,0.21105961454738267
symbolic_sum,1000,seen_sum_10_13,0.0,4432,0.15429232251827618
anchor_posterior,1000,unseen_train_label_14_18,0.0,7568,0.13439228645348839
anchor_symbolic,1000,unseen_train_label_14_18,0.0,7568,0.13071948307743128
direct_sum,1000,unseen_train_label_14_18,0.0,7568,0.22406467770190275
symbolic_sum,1000,unseen_train_label_14_18,0.0,7568,0.14432598784341966
anchor_posterior,5000,seen_sum_10_13,0.8055054151624549,4432,0.7767708398352888
anchor_symbolic,5000,seen_sum_10_13,0.7924187725631769,4432,0.7721098408619134
direct_sum,5000,seen_sum_10_13,0.008574007220216607,4432,0.38965573324684116
symbolic_sum,5000,seen_sum_10_13,0.8574007220216606,4432,0.7668173917193141
anchor_posterior,5000,unseen_train_label_14_18,0.7028276955602537,7568,0.7259797942996828
anchor_symbolic,5000,unseen_train_label_14_18,0.6974101479915433,7568,0.727118175161205
direct_sum,5000,unseen_train_label_14_18,0.0,7568,0.4080872829862579
symbolic_sum,5000,unseen_train_label_14_18,0.8062896405919662,7568,0.7345324841490486
